,Title,Type,year,actors_info,language,subtitles
0,Wakefield,serie,2021,"['Rudi Dharmalingam', 'Geraldine Hakewill', 'Mandy McElhinney', 'Felicity Ward', 'Harry Greenwood', 'Sam Simmons', 'Victoria Haralabidou', 'Dan Wyllie', 'Miritana Hughes']","['Inglés', 'Español']","['Catalán', 'Inglés', 'Español']"
1,Living,film,2022,"['Bill Nighy', 'Aimee Lou Wood', 'Tom Burke', 'Alex Sharp', 'Colin Blyth', 'Richard Cunningham', 'Michael Cochrane', 'Anant Varman', 'Jessica Flood', 'Jamie Wilkes']","['Inglés', 'Catalán', 'Español']","['Español', 'Inglés', 'Catalán']"
2,La interpretación de Rose,film,2020,"['Ann Skelly', 'Orla Brady', 'Aidan Gillen', 'Catherine Walker', 'Sadie Soverall', 'Anabell Rickerby']","['Español', 'Inglés']",['Español']
3,Plan A,film,2021,"['Sylvia Hoeks', 'Michael Aloni', 'August Diehl', 'Nikolai Kinski', 'Milton Welsh', 'Oz Zehavi']","['Catalán', 'Español', 'Inglés']","['Catalán', 'Español']"
4,Cuerpo Abierto,film,2022,"['Tamar Novas', 'Victoria Guerra', 'María Vázquez', 'Federico Pérez', 'Elena Seijo', 'Miquel Insua', 'José Fidalgo']","['Varios', 'Español']","['Español', 'Gallego']"
5,selftape,serie,2023,"['Joana Vilapuig', 'Mireia Vilapuig', 'Joan Esteve', 'Lluís Marqués', 'Yolanda Sey', 'Marc Ribera', 'Pablo Derqui', 'Abril Zamora', 'Camila Ruiz', 'Pablo Álvarez']",['Varios'],"['Catalán', 'Inglés', 'Español']"
6,Endeavour: El final,serie,2023,"['Shaun Evans', 'Roger Allam', 'James Anderson', 'Rob Ostlere', 'Jack Bannon', 'Sara Vickers', 'Sean Rigby', ""Caroline O'Neill""]","['Inglés', 'Español']","['Español', 'Inglés']"
7,Broker,film,2022,"['Lee Ji-Eun', 'Song Kang-ho', 'Gang Dong-won', 'Bae Doona', 'Lee Joo-young', 'Bek Hyun-jin', 'Ryu Kyung-Soo', 'Kang Gil Woo']","['Coreano', 'Catalán', 'Español']","['Español', 'Inglés', 'Catalán']"
8,Suro,film,2022,"['Vicky Luengo', 'Pol López', 'Ilyass El Ouahdani', 'Josep Maria Gómez', 'Vicente Botella', 'Nelson Caballero', 'Joan Carrillo', 'Roc Coll', 'Josep Estragués']","['Varios', 'Español']","['Español', 'Catalán', 'Inglés']"
9,Miss Willoughby y la librería embrujada,film,2021,"['Nathalie Cox', 'Kelsey Grammer', 'Louise Bangay', 'Tara Fitzgerald', 'Steven Elder', 'Caroline Quentin', 'Nicholas Jones', 'Wayne Gordon']","['Catalán', 'Español', 'Inglés']","['Español', 'Catalán']"
10,Una librería en París,film,2021,"['Sergio Castellitto', 'Bérénice Bejo', 'Matilda De Angelis', 'Nassim Lyes', 'Clementino ', 'Sandra Milo', 'Alex Lutz']","['Varios', 'Catalán', 'Español']",['Español']
11,Geografías de la Soledad,film,2022,[],['Inglés'],['Español']
12,Un romance con Fígaro,film,2020,"['Danielle Macdonald', 'Hugh Skinner', 'Joanna Lumley', 'Shazad Latif', 'Gary Lewis', 'Rebecca Benson', 'Ian Hammore']","['Español', 'Inglés']",['Español']
13,Los consejos del Dr. Bird para poetas tristes,film,2020,"['Chase Stokes', 'Taylor Russell', 'Jason Isaacs', 'Lisa Edelstein', 'David Arquette', 'Tom Wilkinson', 'Odiseas Georgiadis']","['Español', 'Inglés']",['Español']
14,Vasil,film,2022,"['Ivan Barnev', 'Karra Elejalde', 'Alexandra Jiménez', 'Susi Sanchez', 'Sue Flack', 'Lorena López', 'Pepo Blasco', 'Pepa Juan']","['Español [ad]', 'Español']","['Español [cc]', 'Inglés']"
15,Gold Run,film,2022,"['Jon Øigarden', 'Axel Bøyum', 'Anatole Taubman', 'Sven Nordin', 'Pål Anders Nordvi', 'Bjørnar Bruun', 'Ida Elise Broch', 'Gard B. Eidsvold', 'Thorbjørn Harr', 'Eivind Sander', 'Morten Svartveit', 'Lars Berge', 'Terje Strømdahl']","['Español', 'Noruego']","['Español', 'Catalán']"
16,¡Dolores Guapa!,film,2022,[],['Español'],"['Español', 'Inglés']"
17,Una y otra vez (Life After Life),serie,2022,"['Thomasin McKenzie', 'Leslie Manville', 'Muki Zubis', 'Isla Johnston', 'Sadie Byron', 'Gus Turner', 'Zachary Nachbar-Seckel', 'Ron Cook']","['Inglés', 'Español']","['Español', 'Catalán', 'Inglés']"
